,label,coverage,annotated_coverage,overlaps,conflicts,correct,incorrect,precision
wib,{'ND'},0.02,0.3,0.02,0.0,537,4,0.99
bmkg,{'ND'},0.03,0.28,0.03,0.01,493,11,0.98
lok,{'ND'},0.01,0.17,0.01,0.0,302,0,1.0
mmi,{'ND'},0.01,0.19,0.01,0.0,341,0,1.0
dirasakan,{'ND'},0.01,0.19,0.01,0.0,339,1,1.0
laut,{'ND'},0.02,0.13,0.02,0.01,230,5,0.98
berada,{'ND'},0.01,0.14,0.01,0.0,248,5,0.98
magnitud*,{'ND'},0.01,0.09,0.01,0.0,164,2,0.99
gempa,{'ND'},0.25,0.4,0.19,0.16,520,207,0.72
tsunami,{'ND'},0.19,0.08,0.14,0.13,111,30,0.79
angin,{'ND'},0.09,0.03,0.09,0.06,56,5,0.92
hujan,{'ND'},0.07,0.03,0.06,0.05,42,16,0.72
rumah,{'ND'},0.04,0.06,0.04,0.03,79,21,0.79
pusat,{'ND'},0.01,0.19,0.01,0.0,339,8,0.98
untuk,{'NOT_ND'},0.04,0.07,0.04,0.02,106,15,0.88
ada,{'NOT_ND'},0.14,0.07,0.14,0.1,112,16,0.88
itu,{'NOT_ND'},0.05,0.07,0.05,0.04,106,12,0.9
saya,{'NOT_ND'},0.01,0.04,0.01,0.01,74,1,0.99
kita,{'NOT_ND'},0.03,0.04,0.03,0.02,61,6,0.91
ngga,{'NOT_ND'},0.01,0.01,0.01,0.0,27,0,1.0
yang,{'NOT_ND'},0.13,0.12,0.12,0.08,165,57,0.74
yg,{'NOT_ND'},0.11,0.06,0.11,0.07,92,9,0.91
ini,{'NOT_ND'},0.13,0.11,0.12,0.08,157,46,0.77
lagi,{'NOT_ND'},0.08,0.02,0.07,0.04,39,2,0.95
dari,{'NOT_ND'},0.07,0.07,0.07,0.05,100,32,0.76
bencana,{'NOT_ND'},0.06,0.04,0.06,0.04,47,28,0.63
aku,{'NOT_ND'},0.06,0.02,0.06,0.04,38,0,1.0
aja,{'NOT_ND'},0.06,0.03,0.05,0.04,47,0,1.0
hari,{'NOT_ND'},0.05,0.03,0.05,0.03,42,11,0.79
semoga,{'NOT_ND'},0.05,0.02,0.05,0.03,24,5,0.83
tapi,{'NOT_ND'},0.05,0.03,0.05,0.03,50,4,0.93
udah,{'NOT_ND'},0.05,0.02,0.05,0.03,27,1,0.96
kalo,{'NOT_ND'},0.05,0.02,0.04,0.03,39,1,0.98
banget,{'NOT_ND'},0.05,0.01,0.04,0.03,9,1,0.9
apa,{'NOT_ND'},0.04,0.03,0.04,0.03,49,2,0.96
allah,{'NOT_ND'},0.04,0.01,0.04,0.03,21,5,0.81
sama,{'NOT_ND'},0.04,0.02,0.04,0.02,37,2,0.95
mana,{'NOT_ND'},0.03,0.01,0.03,0.02,15,0,1.0
gak,{'NOT_ND'},0.05,0.02,0.05,0.03,26,3,0.9
puting,{'ND'},0.16,0.06,0.14,0.11,113,1,0.99
bisa,{'NOT_ND'},0.05,0.04,0.05,0.03,71,3,0.96
gimana,{'NOT_ND'},0.02,0.01,0.02,0.01,11,1,0.92
tanah,{'NOT_ND'},0.05,0.03,0.04,0.03,36,20,0.64
juga,{'NOT_ND'},0.04,0.04,0.04,0.02,64,10,0.86
total,"{'NOT_ND', 'ND'}",0.87,0.87,0.64,0.42,5606,609,0.9
